Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
Fuera SC;Fuera SC;44;Urumita;44855;2018;19214;12847,04436;,
Fuera SC;Fuera SC;44;Villanueva;44874;2018;28508;4762,871313;,
SA-Eje Caribe;Uninodal;47;Santa Marta;47001;2018;507455;189492,1518;,
Fuera SC;Fuera SC;47;Algarrobo;47030;2018;12830;316,827818;,
Fuera SC;Fuera SC;47;Aracataca;47053;2018;40879;128729,0761;,
Fuera SC;Fuera SC;47;Ariguani;47058;2018;32527;1626,695027;,
Fuera SC;Fuera SC;47;Cerro de San Antonio;47161;2018;7734;4486,68298;,
Fuera SC;Fuera SC;47;Chivolo;47170;2018;15793;348,685997;,
SA-Eje Caribe;Uninodal;47;Cienaga;47189;2018;105206;71973,57406;,
Fuera SC;Fuera SC;47;Concordia;47205;2018;9260;983,303677;,
Fuera SC;Fuera SC;47;El Banco;47245;2018;55949;36868,85886;,
Fuera SC;Fuera SC;47;El Piñon;47258;2018;16718;1532,998592;,
Fuera SC;Fuera SC;47;El Reten;47268;2018;21766;2361,58323;,
Fuera SC;Fuera SC;47;Fundacion;47288;2018;57527;35565,1232;,
Fuera SC;Fuera SC;47;Guamal;47318;2018;28012;11587,51288;,
Fuera SC;Fuera SC;47;Nueva Granada;47460;2018;21130;1696,80697;,
Fuera SC;Fuera SC;47;Pedraza;47541;2018;8095;8695,578582;,
Fuera SC;Fuera SC;47;Pijiño del Carmen;47545;2018;16411;2024,051853;,
Fuera SC;Fuera SC;47;Pivijay;47551;2018;33400;2842,9244;,
Fuera SC;Fuera SC;47;Plato;47555;2018;60824;52179,72051;,
Fuera SC;Fuera SC;47;Puebloviejo;47570;2018;32346;48922,00709;,
Fuera SC;Fuera SC;47;Remolino;47605;2018;7980;28975,5402;,
Fuera SC;Fuera SC;47;Sabanas de San Ángel;47660;2018;17568;2874,045352;,
Fuera SC;Fuera SC;47;Salamina;47675;2018;6758;1307,86454;,
Fuera SC;Fuera SC;47;San Sebastian de Buenavista;47692;2018;17568;5659,991542;,
